age,job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y,contact_month,contact_year,id_,income,kidhome,teenhome,dt_customer,numwebvisitsmonth,age_group
57,services,married,high_school,unknown,no,no,telephone,149,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,9,2016,e9d37224-cb6f-4942-98d7-46672963d097,85477,1,1,2012-12-30,7,46-60
37,services,married,high_school,no,yes,no,telephone,226,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,2,2019,3f9f49b5-e410-4948-bf6e-f9244f04918b,147233,1,1,2012-02-02,5,31-45
40,administrative,married,basic_6y,no,no,no,telephone,151,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,11,2015,9991fafb-4447-451a-8be2-b0df6098d13e,121393,1,2,2012-12-21,29,31-45
56,services,married,high_school,no,no,yes,telephone,307,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,1,2017,eca60b76-70b6-4077-80ba-bc52e8ebb0eb,63164,1,2,2012-06-20,20,46-60
45,services,married,basic_9y,unknown,no,no,telephone,198,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,9,2015,d63ede72-0b6d-45b1-8872-385ac6897f65,143854,0,1,2012-01-24,26,31-45
59,administrative,married,professional_course,no,no,no,telephone,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,1,2019,5e3483e5-236d-437d-8351-541f9d09b9dd,76439,1,0,2012-08-15,3,46-60
24,technician,single,professional_course,no,yes,no,telephone,380,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,1,2018,87b79988-2be5-419d-88f4-56655852c565,179933,0,0,2012-08-22,18,18-30
25,services,single,high_school,no,yes,no,telephone,50,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,11,2016,ea6b7d04-9271-4c0a-a01f-07795d164aba,77504,1,0,2012-02-09,18,18-30
41,blue-collar,married,unknown,unknown,no,no,telephone,55,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,11,2015,8d700df5-0c33-4517-8cf8-92e1c92c9c12,92882,1,1,2012-01-05,9,31-45
25,services,single,high_school,no,yes,no,telephone,222,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,4,2016,ca5c0d7a-8bbd-42b3-8351-1074c5be011a,84813,0,1,2012-06-06,30,18-30
